Compound,#,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc.,%Rec,Detection Flags,ExperimentDate,Analysis Date
Amikacin,1,WaterBlank1,Blank,,,,1.814,,,,,,22719,41219
Amikacin,2,AcnBlank2,Blank,,0.24,0.216,,0.89,,,,bb,22719,41219
Amikacin,3,WaterBlank3,Blank,,,,,,,,,,22719,41219
Amikacin,4,Water_ABS_0,Standard,0,,,80033.453,,,,,,22719,41219
Amikacin,5,Water_ABS_140,Standard,0.014,0.3,0.016,93789.563,0,0,0.0209,149,bb,22719,41219
Amikacin,6,Water_ABS_410,Standard,0.041,0.43,3.996,100555.258,2.222,0,0.0264,64.3,bb,22719,41219
Amikacin,7,Water_ABS_1230,Standard,0.123,0.43,92.865,83730.828,223.422,0.001,0.1722,140,bb,22719,41219
Amikacin,8,Water_ABS_3700,Standard,0.37,0.43,161.714,125626.602,82.969,0.001,0.196,53,bb,22719,41219
Amikacin,9,Water_ABS_1000,Standard,1.1,0.39,824.898,109531.508,888.613,0.008,0.9566,87,bb,22719,41219
Amikacin,10,Water_ABS_3000,Standard,3.3,0.37,2508.826,68489,3708.774,0.037,3.5373,107.2,bb,22719,41219
Amikacin,11,Water_ABS_10000,Standard,10,0.37,10255.445,63191.914,8537.514,0.162,9.9661,99.7,bb,22719,41219
Amikacin,12,WaterBlank4,Blank,,0.55,0.061,295.494,0.415,0,0.0494,,bb,22719,41219
Amikacin,13,AcnBlank5,Blank,,0.32,0.065,200.195,0.584,0,0.0657,,bb,22719,41219
Amikacin,14,WaterBlank6,Blank,,,,17.52,,,,,,22719,41219
Amikacin,15,PooledMucus_solventA_0,Analyte,,0.41,0.77,57147.258,1.55,0,0.0227,,bb,22719,41219
Amikacin,16,PooledMucus_solventA_14,Analyte,,0.37,0.153,51809.441,0.565,0,0.0212,,bb,22719,41219
Amikacin,17,PooledMucus_solventA_123,Analyte,,0.34,1.133,45912.137,2.417,0,0.0243,,bb,22719,41219
Amikacin,18,PooledMucus_solventA_3300,Analyte,,,,35939.434,,,,,,22719,41219
Amikacin,19,PooledMucus_solventA_10000,Analyte,,,,36313.945,,,,,,22719,41219
Amikacin,20,WaterBlank7,Blank,,,,318.79,,,,,,22719,41219
Amikacin,21,AcnBlank8,Blank,,0.37,0.644,141.992,1.707,0.005,0.6077,,bb,22719,41219
Amikacin,22,Waterblank9,Blank,,,,16.554,,,,,,22719,41219
Amikacin,23,PooledMucus_solventB_0,Analyte,,0.49,0.02,67273.039,0.22,0,0.0209,,bb,22719,41219
Amikacin,24,PooledMucus_solventB_14,Analyte,,0.53,0.281,72552.203,0.965,0,0.0214,,bb,22719,41219
Amikacin,25,PooledMucus_solventB_123,Analyte,,0.39,1.355,57693.641,4.141,0,0.0241,,bb,22719,41219
Amikacin,26,PooledMucus_solventB_3300,Analyte,,0.34,77.329,61397.359,269.265,0.001,0.1923,,bb,22719,41219
Amikacin,27,PooledMucus_solventB_10000,Analyte,,0.34,360.876,37042.84,954.779,0.01,1.1988,,bb,22719,41219
Amikacin,28,Waterblank10,Blank,,0.28,0.232,111.886,1.144,0.002,0.2994,,bb,22719,41219
Amikacin,29,AcnBlank11,Blank,,,,53.65,,,,,,22719,41219
Amikacin,30,WaterBlank12,Blank,,0.22,0.094,,0.552,,,,bb,22719,41219
Amikacin,31,PooledMucus_solventC_0,Analyte,,,,52798.707,,,,,,22719,41219
Amikacin,32,PooledMucus_solventC_14,Analyte,,,,61136.465,,,,,,22719,41219
Amikacin,33,PooledMucus_solventC_123,Analyte,,,,56352.906,,,,,,22719,41219
Amikacin,34,PooledMucus_solventC_3300,Analyte,,0.26,0.298,58661.398,1.173,0,0.0215,,bb,22719,41219
Amikacin,35,PooledMucus_solventC_10000,Analyte,,,,47834.305,,,,,,22719,41219
Amikacin,36,WaterBlank13,Blank,,0.45,0.045,104.79,0.26,0,0.0801,,bb,22719,41219
Amikacin,37,AcnBlank14,Blank,,0.2,0.037,182.228,0.65,0,0.049,,bb,22719,41219
Amikacin,38,WaterBlank15,Blank,,,,15.456,,,,,,22719,41219
Amikacin,39,Minus80Aliquot,Analyte,,0.34,6476.763,14.259,4213.433,454.223,699.5547,,bb,22719,41219
Amikacin,40,WaterBlank16,Blank,,0.28,0.222,,1.155,,,,bb,22719,41219
Amikacin,41,AcnBlank17,Blank,,,,54.09,,,,,,22719,41219
Amikacin,42,WaterBlank8,Blank,,0.41,0.624,5.308,1.924,0.118,8.08,,bb,22719,41219
Linezolidd3,1,WaterBlank1,Blank,1,3.46,1.847,,5.944,1.847,0.0001,0,bb,22719,41219
Linezolidd3,2,AcnBlank2,Blank,1,,,,,,,,,22719,41219
Linezolidd3,3,WaterBlank3,Blank,1,3.42,12.297,,17.448,12.297,0.0003,0,bb,22719,41219
Linezolidd3,4,Water_ABS_0,Standard,1,3.46,53355.855,,9675.593,53355.855,1.5031,150.3,bb,22719,41219
Linezolidd3,5,Water_ABS_140,Standard,1,3.46,59732.938,,10586.737,59732.938,1.6827,168.3,bb,22719,41219
Linezolidd3,6,Water_ABS_410,Standard,1,3.46,34903.023,,11060.929,34903.023,0.9833,98.3,bb,22719,41219
Linezolidd3,7,Water_ABS_1230,Standard,1,3.46,47264.629,,2839.65,47264.629,1.3315,133.1,bb,22719,41219
Linezolidd3,8,Water_ABS_3700,Standard,1,3.46,33627.105,,1584.508,33627.105,0.9473,94.7,bb,22719,41219
Linezolidd3,9,Water_ABS_1000,Standard,1,3.46,24807.604,,6742.175,24807.604,0.6989,69.9,bb,22719,41219
Linezolidd3,10,Water_ABS_3000,Standard,1,3.46,18958.889,,1903.113,18958.889,0.5341,53.4,bb,22719,41219
Linezolidd3,11,Water_ABS_10000,Standard,1,3.46,11330.235,,4269.583,11330.235,0.3192,31.9,bb,22719,41219
Linezolidd3,12,WaterBlank4,Blank,1,3.48,17.273,,5.999,17.273,0.0005,0,bb,22719,41219
Linezolidd3,13,AcnBlank5,Blank,1,3.42,25.242,,75.811,25.242,0.0007,0.1,bb,22719,41219
Linezolidd3,14,WaterBlank6,Blank,1,3.44,6.597,,16.458,6.597,0.0002,0,bb,22719,41219
Linezolidd3,15,PooledMucus_solventA_0,Analyte,1,3.46,8942.711,,1979.758,8942.711,0.2519,25.2,bb,22719,41219
Linezolidd3,16,PooledMucus_solventA_14,Analyte,1,3.46,9503.128,,675.906,9503.128,0.2677,26.8,bb,22719,41219
Linezolidd3,17,PooledMucus_solventA_123,Analyte,1,3.46,9271.06,,790.911,9271.06,0.2612,26.1,bb,22719,41219
Linezolidd3,18,PooledMucus_solventA_3300,Analyte,1,3.46,8903.618,,878.467,8903.618,0.2508,25.1,bb,22719,41219
Linezolidd3,19,PooledMucus_solventA_10000,Analyte,1,3.44,6110.663,,1443.263,6110.663,0.1721,17.2,bb,22719,41219
Linezolidd3,20,WaterBlank7,Blank,1,3.44,54.107,,26.136,54.107,0.0015,0.2,bb,22719,41219
Linezolidd3,21,AcnBlank8,Blank,1,3.42,21.706,,9.402,21.706,0.0006,0.1,bb,22719,41219
Linezolidd3,22,Waterblank9,Blank,1,3.42,8.228,,8.699,8.228,0.0002,0,bb,22719,41219
Linezolidd3,23,PooledMucus_solventB_0,Analyte,1,3.44,9025.393,,2009.884,9025.393,0.2543,25.4,bb,22719,41219
Linezolidd3,24,PooledMucus_solventB_14,Analyte,1,3.44,9415.725,,1360.735,9415.725,0.2653,26.5,bb,22719,41219
Linezolidd3,25,PooledMucus_solventB_123,Analyte,1,3.44,9141.447,,836.212,9141.447,0.2575,25.8,bb,22719,41219
Linezolidd3,26,PooledMucus_solventB_3300,Analyte,1,3.46,7437.023,,1063.552,7437.023,0.2095,21,bb,22719,41219
Linezolidd3,27,PooledMucus_solventB_10000,Analyte,1,3.44,6289.688,,334.468,6289.688,0.1772,17.7,bb,22719,41219
Linezolidd3,28,Waterblank10,Blank,1,3.44,64.042,,141.306,64.042,0.0018,0.2,bb,22719,41219
Linezolidd3,29,AcnBlank11,Blank,1,3.44,6.573,,5.655,6.573,0.0002,0,bb,22719,41219
Linezolidd3,30,WaterBlank12,Blank,1,3.4,0.854,,3.49,0.854,0,0,bb,22719,41219
