SampleNumber,Compound,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc_micromolar,%Rec,Detection Flags,Threshold
1,Amikacin,WaterBlank1,Blank,,0.22,0.088,13.401,0.456,0.007,1.9992,,bb,10
2,Amikacin,WaterBlank2,Blank,,,,0.661,,,,,,10
3,Amikacin,Sample_12270,Analyte,,0.51,0.583,30297.92,1.152,0,0,,bbI,10
4,Amikacin,WaterBlank1a,Blank,,0.49,0.777,18.998,1.876,0.041,4.693,,bb,10
5,Amikacin,WaterBlank2a,Blank,,0.39,0.642,11.038,2.212,0.058,5.5572,,bb,10
6,Amikacin,Water_ABS_0,Standard,0,,,90161.039,,,,,,10
7,Amikacin,Water_ABS_140,Standard,0.014,0.47,0.481,96119.719,1.685,0,0,0,bbI,10
8,Amikacin,Water_ABS_410,Standard,0.041,0.43,11.458,93295.289,19.156,0,0,0,bbI,10
9,Amikacin,Water_ABS_1230,Standard,0.123,0.37,8.695,95918.625,24.934,0,0.3221,261.9,bb,10
10,Amikacin,Water_ABS_3700,Standard,0.37,0.39,301.649,92885.742,1016.856,0.003,1.462,395.1,bb,10
11,Amikacin,Water_ABS_1000,Standard,1.1,0.39,609.863,94045.25,713.829,0.006,1.9879,180.7,bb,10
12,Amikacin,Water_ABS_3000,Standard,3.3,0.39,702.275,80115.352,1425.003,0.009,2.2797,69.1,bb,10
13,Amikacin,Water_ABS_10000,Standard,10,0.39,10972.535,55494.848,6594.006,0.198,10.0722,100.7,bb,10
14,Amikacin,WaterBlank1b,Blank,,,,83.191,,,,,,10
15,Amikacin,WaterBlank2b,Blank,,,,,,,,,,10
16,Amikacin,WaterBlank3b,Blank,,0.57,1.989,28.292,2.123,0.07,6.0893,,bb,10
17,Amikacin,Minus80aliquot,Analyte,,0.39,20122.525,417.385,9215.655,48.211,154.225,,bb,10
18,Amikacin,WaterBlank1A,Blank,,,,36.239,,,,,,10
19,Amikacin,WaterBlank2A,Blank,,0.39,3.675,,12.089,,,,bb,10
20,Amikacin,WaterBlank3A,Blank,,0.39,6.761,9.541,7.388,0.709,18.8821,,bb,10
21,Amikacin,Sample_15139,Analyte,,,,8337.063,,,,,,10
22,Amikacin,Sample_5307,Analyte,,,,12306.706,,,,,,10
23,Amikacin,Sample_6517,Analyte,,,,9643.575,,,,,,10
24,Amikacin,Sample_5573,Analyte,,0.37,0.658,11891.619,2.056,0,0,,bbI,10
