SampleNumber,Compound,Sample Text,Type,Std. Conc,RT,Area,IS Area,S/N,Response,Conc_micromolar,%Rec,Detection Flags,Threshold
1,Amikacin,WaterBlank1,Blank,NA,0.22,20,13.401,0.456,0.007,1.9992,NA,bb,10
2,Amikacin,WaterBlank2,Blank,NA,NA,20,0.661,NA,NA,NA,NA,,10
3,Amikacin,Sample_9270,Analyte,NA,0.51,0.583,30297.92,1.152,0,0,NA,bbI,10
4,Amikacin,WaterBlank1a,Blank,NA,0.49,20,18.998,1.876,0.041,4.693,NA,bb,10
5,Amikacin,WaterBlank2a,Blank,NA,0.39,20,11.038,2.212,0.058,5.5572,NA,bb,10
6,Amikacin,Water_ABS_0,Standard,0,NA,NA,90161.039,NA,NA,NA,NA,,10
7,Amikacin,Water_ABS_140,Standard,0.014,0.47,0.481,96119.719,1.685,0,0,0,bbI,10
8,Amikacin,Water_ABS_410,Standard,0.041,0.43,11.458,93295.289,19.156,0,0,0,bbI,10
9,Amikacin,Water_ABS_1230,Standard,0.123,0.37,8.695,95918.625,24.934,0,0.3221,261.9,bb,10
10,Amikacin,Water_ABS_3700,Standard,0.37,0.39,301.649,92885.742,1016.856,0.003,1.462,395.1,bb,10
11,Amikacin,Water_ABS_1000,Standard,1.1,0.39,609.863,94045.25,713.829,0.006,1.9879,180.7,bb,10
12,Amikacin,Water_ABS_3000,Standard,3.3,0.39,702.275,80115.352,1425.003,0.009,2.2797,69.1,bb,10
13,Amikacin,Water_ABS_10000,Standard,10,0.39,10972.535,55494.848,6594.006,0.198,10.0722,100.7,bb,10
14,Amikacin,WaterBlank1b,Blank,NA,NA,20,83.191,NA,NA,NA,NA,,10
15,Amikacin,WaterBlank2b,Blank,NA,NA,20,NA,NA,NA,NA,NA,,10
16,Amikacin,WaterBlank3b,Blank,NA,0.57,20,28.292,2.123,0.07,6.0893,NA,bb,10
17,Amikacin,Minus80aliquot,Analyte,NA,0.39,20122.525,417.385,9215.655,48.211,154.225,NA,bb,10
18,Amikacin,WaterBlank1A,Blank,NA,NA,20,36.239,NA,NA,NA,NA,,10
19,Amikacin,WaterBlank2A,Blank,NA,0.39,20,NA,12.089,NA,NA,NA,bb,10
20,Amikacin,WaterBlank3A,Blank,NA,0.39,20,9.541,7.388,0.709,18.8821,NA,bb,10
21,Amikacin,Sample_11139,Analyte,NA,NA,NA,8337.063,NA,NA,NA,NA,,10
22,Amikacin,Sample_3307,Analyte,NA,NA,NA,12306.706,NA,NA,NA,NA,,10
23,Amikacin,Sample_4517,Analyte,NA,NA,NA,9643.575,NA,NA,NA,NA,,10
24,Amikacin,Sample_3573,Analyte,NA,0.37,0.658,11891.619,2.056,0,0,NA,bbI,10
25,Amikacin,Sample_1163,Analyte,NA,0.24,0.842,4881.51,1.753,0,0.4402,NA,bb,10
26,Amikacin,Sample_3331,Analyte,NA,0.47,0.257,13339.362,1.069,0,0,NA,bbI,10
27,Amikacin,Sample_6039,Analyte,NA,NA,NA,7944.416,NA,NA,NA,NA,,10
28,Amikacin,Sample_3548,Analyte,NA,NA,NA,8466.593,NA,NA,NA,NA,,10
29,Amikacin,Sample_3552,Analyte,NA,NA,NA,8729.085,NA,NA,NA,NA,,10
30,Amikacin,Sample_10359,Analyte,NA,NA,NA,7540.354,NA,NA,NA,NA,,10
31,Amikacin,WaterBlank4,Blank,NA,NA,20,NA,NA,NA,NA,NA,,10
32,Amikacin,WaterBlank5,Blank,NA,NA,20,16.82,NA,NA,NA,NA,MM-I,10
33,Amikacin,Sample_10285,Analyte,NA,0.26,0.033,5787.078,0.253,0,0,NA,bbI,10
34,Amikacin,Sample_1033,Analyte,NA,0.43,1.745,NA,1.12,NA,NA,NA,bb,10
35,Amikacin,Sample_1142,Analyte,NA,NA,NA,4378.135,NA,NA,NA,NA,,10
36,Amikacin,Sample_6080,Analyte,NA,NA,NA,6180.041,NA,NA,NA,NA,,10
37,Amikacin,Sample_1162,Analyte,NA,0.32,0.432,6601.297,1.148,0,0.2143,NA,bb,10
38,Amikacin,Sample_2157,Analyte,NA,NA,NA,5633.405,NA,NA,NA,NA,,10
39,Amikacin,Sample_1035,Analyte,NA,NA,NA,3836.894,NA,NA,NA,NA,,10
40,Amikacin,Sample_3306,Analyte,NA,0.53,0.163,6104.225,0.596,0,0,NA,bbI,10
41,Amikacin,Sample_5329,Analyte,NA,NA,NA,3041.353,NA,NA,NA,NA,,10
42,Amikacin,Sample_6283,Analyte,NA,0.53,0.33,7934.2,0.99,0,0,NA,bbI,10
43,Amikacin,WaterBlank6,Blank,NA,0.3,20,25.204,2.237,0.042,4.7518,NA,bb,10
44,Amikacin,WaterBlank7,Blank,NA,0.39,20,32.121,0.804,0.015,2.8792,NA,bb,10
45,Amikacin,Sample_4512,Analyte,NA,0.57,0.29,3900.927,0.936,0,0.277,NA,bb,10
46,Amikacin,Sample_6248,Analyte,NA,0.43,0.175,10638.395,0.498,0,0,NA,bbI,10
47,Amikacin,Sample_4510,Analyte,NA,0.28,0.905,9583.706,0.649,0,0.3302,NA,bb,10
48,Amikacin,Sample_6082,Analyte,NA,NA,NA,11266.05,NA,NA,NA,NA,,10
49,Amikacin,Sample_1056,Analyte,NA,0.34,0.212,18050.068,1.312,0,0,NA,bbI,10
50,Amikacin,Sample_10358,Analyte,NA,0.22,0.053,13978.586,0.258,0,0,NA,bbI,10
51,Amikacin,Sample_10333,Analyte,NA,0.53,2.682,28211.877,3.917,0,0.3315,NA,bb,10
52,Amikacin,Sample_2137,Analyte,NA,NA,NA,26646.32,NA,NA,NA,NA,,10
53,Amikacin,Sample_3110,Analyte,NA,0.26,0.595,32726.643,2.871,0,0,NA,bbI,10
54,Amikacin,Sample_8159,Analyte,NA,NA,NA,19967.186,NA,NA,NA,NA,,10
55,Amikacin,WaterBlank8,Blank,NA,NA,20,166.748,NA,NA,NA,NA,,10
56,Amikacin,WaterBlank9,Blank,NA,NA,20,51.062,NA,NA,NA,NA,,10
57,Amikacin,Sample_5308,Analyte,NA,0.26,0.776,20683.967,1.223,0,0,NA,bbI,10
58,Amikacin,Sample_5306,Analyte,NA,NA,NA,25995.381,NA,NA,NA,NA,,10
59,Amikacin,Sample_7138,Analyte,NA,NA,NA,19548.168,NA,NA,NA,NA,,10
60,Amikacin,Sample_1058,Analyte,NA,NA,NA,23333.762,NA,NA,NA,NA,,10
61,Amikacin,Sample_3571,Analyte,NA,NA,NA,39417.027,NA,NA,NA,NA,,10
62,Amikacin,Sample_3112,Analyte,NA,NA,NA,46545.211,NA,NA,NA,NA,,10
63,Amikacin,WaterBlank10,Blank,NA,NA,20,7.788,NA,NA,NA,NA,,10
64,Amikacin,QC1_10uMPOOL,Analyte,NA,0.37,10637.582,280.508,13975.07,37.923,136.8064,NA,bb,10
65,Amikacin,WaterBlank11,Blank,NA,0.43,20,2.059,1.483,0.337,13.0779,NA,bb,10
66,Amikacin,WaterBlank12,Blank,NA,0.3,20,9.312,1.194,0.032,4.1479,NA,bb,10
67,Amikacin,Sample_11155,Analyte,NA,NA,NA,26131.605,NA,NA,NA,NA,,10
68,Amikacin,Sample_3334,Analyte,NA,0.49,0.045,27490.025,0.407,0,0,NA,bbI,10
69,Amikacin,Sample_3135,Analyte,NA,NA,NA,47158.754,NA,NA,NA,NA,,10
70,Amikacin,Sample_10334,Analyte,NA,NA,NA,24461.645,NA,NA,NA,NA,,10
