Sample Text,Number,Area,Compound
Sample_12270,10,246472.703,Linezolidd3
Sample_15139,11,241869.328,Linezolidd3
Sample_5307,12,241700.859,Linezolidd3
Sample_6517,13,242865.797,Linezolidd3
Sample_5573,14,251363.063,Linezolidd3
Sample_1163,15,222130.328,Linezolidd3
Sample_5331,16,271676.406,Linezolidd3
Sample_9039,17,178298.141,Linezolidd3
Sample_5548,18,244852.656,Linezolidd3
Sample_5552,19,269790.75,Linezolidd3
Sample_13359,20,279981.406,Linezolidd3
Sample_13285,21,245975.031,Linezolidd3
Sample_1033,22,159633.953,Linezolidd3
Sample_1142,23,208454.313,Linezolidd3
Sample_9080,24,218513.719,Linezolidd3
Sample_1162,25,297851.469,Linezolidd3
Sample_4157,26,214359.375,Linezolidd3
Sample_1035,27,231727.531,Linezolidd3
Sample_5306,28,244698.234,Linezolidd3
Sample_8329,29,167558.281,Linezolidd3
Sample_9283,30,257253.422,Linezolidd3
Sample_6512,31,153707.875,Linezolidd3
Sample_9248,32,250551.313,Linezolidd3
Sample_6510,33,203880.734,Linezolidd3
Sample_9082,34,188514.719,Linezolidd3
Sample_1056,35,238442.531,Linezolidd3
Sample_13358,36,209063.438,Linezolidd3
Sample_13333,37,310861.438,Linezolidd3
Sample_4137,38,241024,Linezolidd3
Sample_5110,39,214186,Linezolidd3
Sample_11159,40,236961,Linezolidd3
Sample_8308,41,219767,Linezolidd3
Sample_8306,42,245313,Linezolidd3
Sample_10138,43,282888,Linezolidd3
Sample_1058,44,304023,Linezolidd3
Sample_5571,45,238743,Linezolidd3
Sample_5112,46,193208,Linezolidd3
Sample_15155,47,304052,Linezolidd3
Sample_5334,48,235718,Linezolidd3
Sample_5135,49,223539,Linezolidd3
Sample_13334,50,199458,Linezolidd3
Sample_9246,51,267936,Linezolidd3
Sample_4136,52,209403,Linezolidd3
Sample_11157,53,214373,Linezolidd3
Sample_15138,54,286206,Linezolidd3
Sample_11160,55,186586,Linezolidd3
Sample_5137,56,176172,Linezolidd3
Sample_1363,57,229306,Linezolidd3
Sample_6489,58,289071,Linezolidd3
Sample_9251,59,144933,Linezolidd3
Sample_9042,60,236934,Linezolidd3
Sample_1055,61,193431,Linezolidd3
Sample_1059,62,253495,Linezolidd3
Sample_6495,63,280290,Linezolidd3
Sample_12293,64,217827,Linezolidd3
Sample_12296,65,201577,Linezolidd3
Sample_13284,66,194481,Linezolidd3
Sample_1360,67,208699,Linezolidd3
Sample_9083,68,226489,Linezolidd3
Sample_5305,69,225758,Linezolidd3
Sample_13354,70,210695,Linezolidd3
Sample_11181,71,252518,Linezolidd3
Sample_8324,72,322211,Linezolidd3
Sample_12269,73,207197,Linezolidd3
Sample_9081,74,289185,Linezolidd3
Sample_10155,75,203348,Linezolidd3
Sample_5335,76,263409,Linezolidd3
Sample_15141,77,248320,Linezolidd3
Sample_12291,78,225800,Linezolidd3
Sample_1359,79,209934,Linezolidd3
Sample_10139,80,333457,Linezolidd3
Sample_6516,81,292681,Linezolidd3
Sample_9084,82,168369,Linezolidd3
Sample_5550,83,257236,Linezolidd3
Sample_6493,84,216148,Linezolidd3
Sample_9041,85,180575,Linezolidd3
Sample_15159,86,205525,Linezolidd3
Sample_13332,87,248978,Linezolidd3
Sample_15136,88,259819,Linezolidd3
Sample_1361,89,252415,Linezolidd3
Sample_4135,90,219336,Linezolidd3
Sample_8305,91,136619,Linezolidd3
Sample_4159,92,276372,Linezolidd3
Sample_6491,93,193772,Linezolidd3
Sample_5574,94,208791,Linezolidd3
Sample_1158,95,193200,Linezolidd3
Sample_5333,96,352094,Linezolidd3
Sample_11180,97,372946,Linezolidd3
Sample_13357,100,231671,Linezolidd3
Sample_15140,101,242626,Linezolidd3
Sample_15134,102,201829,Linezolidd3
Sample_8304,103,273187,Linezolidd3
Sample_11185,104,203312,Linezolidd3
Sample_15158,105,248824,Linezolidd3
Sample_13288,106,174828,Linezolidd3
Sample_1034,107,276470,Linezolidd3
Sample_9284,108,292195,Linezolidd3
Sample_4139,109,147019,Linezolidd3
Sample_1159,110,183162,Linezolidd3
Sample_5336,111,197715,Linezolidd3
Sample_1160,112,149341,Linezolidd3
Sample_1362,113,265100,Linezolidd3
Sample_8330,114,178152,Linezolidd3
Sample_11186,115,199681,Linezolidd3
Sample_5572,116,243296,Linezolidd3
Sample_13283,117,163614,Linezolidd3
Sample_8331,118,280179,Linezolidd3
Sample_1038,119,259492,Linezolidd3
Sample_6496,120,118023,Linezolidd3
Sample_5551,121,277462,Linezolidd3
Sample_13356,122,237317,Linezolidd3
Sample_5549,123,263865,Linezolidd3
Sample_12267,124,260267,Linezolidd3
Sample_9282,125,268663,Linezolidd3
Sample_1161,126,212863,Linezolidd3
Sample_6490,127,161939,Linezolidd3
Sample_1054,128,281345,Linezolidd3
Sample_15162,129,263855,Linezolidd3
Sample_5113,130,298784,Linezolidd3
Sample_4155,131,140181,Linezolidd3
Sample_9043,132,391380,Linezolidd3
Sample_1140,133,248229,Linezolidd3
Sample_5136,134,272199,Linezolidd3
Sample_5570,135,294321,Linezolidd3
